201902220406,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220407,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220408,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220409,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220410,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220411,0.04,0.01,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220412,0.01,0.01,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220413,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220414,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220415,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220416,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220417,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220418,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220419,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220420,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220421,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220422,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220423,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220424,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220425,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220426,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220427,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220428,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220429,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220430,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220431,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220432,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220433,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220434,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220435,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220436,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
201902220437,0.00,0.00,0.00,15120,daemon,20,0,1064m,51m,3264,S,0.0,4.4,0:06.47,httpd,15244,daemon,20,0,1053m,47m,4448,S,0.0,4.0,0:03.42,httpd,15036,daemon,20,0,1057m,32m,3384,S,0.0,2.8,0:07.10,httpd,14953,daemon,20,0,1056m,26m,3124,S,0.0,2.3,0:07.32,httpd,14924,daemon,20,0,1056m,26m,2964,S,0.0,2.3,0:06.81,httpd,15008,daemon,20,0,1057m,26m,3252,S,0.0,2.2,0:06.89,httpd,15092,daemon,20,0,1056m,24m,3236,S,0.0,2.1,0:07.20,httpd,15037,daemon,20,0,1055m,24m,3184,S,0.0,2.0,0:06.17,httpd,15181,daemon,20,0,1056m,12m,2760,S,0.0,1.0,0:03.66,httpd,14869,daemon,20,0,1070m,8688,2320,S,0.0,0.7,0:05.24,httpd
